item,lvl,ID,catSeq,Finnish,English,TDOI
1,1,C1,1,Sydän- ja verenkiertoelimistön lääkkeet,,01126
2,2,C1A,10,"Sydänlääkkeet (mm. digitalis, inotroopit, nitraatit)",,00508
3,3,C1AA,10,Digitalisglykosidit,,00042
4,4,C01AA05,10,Digoksiini,digoxin,01357
5,3,C1AB,20,Inotrooppiset lääkkeet,,00835
6,4,C01CA01,10,Etilefriini,etilefrine,00459
7,4,C01CA02,20,Isoprenaliini,isoprenaline,03460
8,4,C01CA03,30,Noradrenaliini,norepinephrine,03484
9,4,C01CA04,40,Dopamiini,dopamine,01161
10,4,C01CA07,60,Dobutamiini,dobutamine,00738
11,4,C01CA24,80,Adrenaliini,epinephrine,00507
12,4,C01CA26,90,Efedriini,ephedrine,09040
13,4,C01CE02,100,Milrinoni,milrinone,08903
14,4,C01CX08,110,Levosimendaani,levosimendan,01681
15,4,C01CX09,120,Angiotensiini II,angiotensin II,10202
16,3,C1AC,30,Orgaaniset nitraatit,,01284
17,4,C01DA02,10,Glyseryylitrinitraatti,glyceryl trinitrate,00606
18,4,C01DA08,20,Isosorbididinitraatti,isosorbide dinitrate,00111
19,4,C01DA14,30,Isosorbidimononitraatti,isosorbide mononitrate,01393
20,3,C1AD,40,Muut sydänlääkkeet,,01436
21,4,C01CA06,7,Fenyyliefriini,phenylephrine,03456
22,4,C01CA17,8,Midodriini,midodrine,03464
23,4,C01DX22,10,Verisiguaatti,vericiguat,10587
24,4,C01EA01,20,Alprostadiili,alprostadil,00136
25,4,C01EB02,30,Kamferi,camphora,01134
26,4,C01EB10,40,Adenosiini,adenosine,01086
27,4,C01EB16,50,Ibuprofeeni,ibuprofen,00055
28,4,C01EB17,60,Ivabradiini,ivabradine,00963
29,4,C01EB18,70,Ranolatsiini,ranolazine,09756
30,4,C01EB24,70,Mavakamteeni,mavacamten,11049
31,4,A10BK01,71,Dapagliflotsiini,dapagliflozin,10972
32,4,A10BK03,71,Empagliflotsiini,empagliflozin,10973
33,4,C01EB22,71,Meldonium,meldonium,11197
34,4,C01EB25,71,Akoramidiisi,acoramidis,11213
35,2,C1B,20,Rytmihäiriölääkkeet,,00913
36,3,C1BA,10,Ryhmä 1A,,01615
37,4,C01BA01,10,Kinidiini,quinidine,00446
38,4,C01BA13,10,Hydrokinidiini,hydroquinidine,10889
39,4,C01BA02,20,Prokaiiniamidi,procainamide,09945
40,4,C01BA03,30,Disopyramidi,disopyramide,00862
41,4,C01BA05,40,Aimaliini,ajmaline,09501
42,3,C1BB,20,Ryhmä 1B,,00346
43,4,C01BB01,10,Lidokaiini,lidocaine,00041
44,4,C01BB02,20,Meksiletiini,mexiletine,00162
45,3,C1BC,30,Ryhmä 1C,,00194
46,4,C01BC03,10,Propafenoni,propafenone,00799
47,4,C01BC04,20,Flekainidi,flecainide,00636
48,3,C1BD,40,Ryhmä 2 (beetasalpaajat),,00915
49,4,C1BDA,10,Selektiiviset beetasalpaajat,,01325
50,5,C07AB02,10,Metoprololi,metoprolol,00772
51,5,C07AB03,20,Atenololi,atenolol,00834
52,5,C07AB04,30,Asebutololi,acebutolol,01625
