item,lvl,ID,catSeq,Finnish,English,TDOI
1,1,C1,1,Sydän- ja verenkiertoelimistön lääkkeet,,undefined
2,2,C1A,10,"Sydänlääkkeet (mm. digitalis, inotroopit, nitraatit)",,undefined
3,3,C1AA,10,Digitalisglykosidit,,undefined
4,4,C01AA05,10,Digoksiini,digoxin,undefined
5,3,C1AB,20,Inotrooppiset lääkkeet,,undefined
6,4,C01CA01,10,Etilefriini,etilefrine,undefined
7,4,C01CA02,20,Isoprenaliini,isoprenaline,NOTDOI
8,4,C01CA03,30,Noradrenaliini,norepinephrine,NOTDOI
9,4,C01CA04,40,Dopamiini,dopamine,undefined
10,4,C01CA07,60,Dobutamiini,dobutamine,undefined
11,4,C01CA24,80,Adrenaliini,epinephrine,undefined
12,4,C01CA26,90,Efedriini,ephedrine,NOTDOI
13,4,C01CE02,100,Milrinoni,milrinone,NOTDOI
14,4,C01CX08,110,Levosimendaani,levosimendan,undefined
15,4,C01CX09,120,Angiotensiini II,angiotensin II,NOTDOI
16,3,C1AC,30,Orgaaniset nitraatit,,undefined
17,4,C01DA02,10,Glyseryylitrinitraatti,glyceryl trinitrate,undefined
18,4,C01DA08,20,Isosorbididinitraatti,isosorbide dinitrate,undefined
19,4,C01DA14,30,Isosorbidimononitraatti,isosorbide mononitrate,undefined
20,3,C1AD,40,Muut sydänlääkkeet,,undefined
21,4,C01CA06,7,Fenyyliefriini,phenylephrine,NOTDOI
22,4,C01CA17,8,Midodriini,midodrine,NOTDOI
23,4,C01DX22,10,Verisiguaatti,vericiguat,NOTDOI
24,4,C01EA01,20,Alprostadiili,alprostadil,undefined
25,4,C01EB02,30,Kamferi,camphora,undefined
26,4,C01EB10,40,Adenosiini,adenosine,undefined
27,4,C01EB16,50,Ibuprofeeni,ibuprofen,undefined
28,4,C01EB17,60,Ivabradiini,ivabradine,undefined
29,4,C01EB18,70,Ranolatsiini,ranolazine,NOTDOI
30,4,C01EB24,70,Mavakamteeni,mavacamten,NOTDOI
31,4,A10BK01,71,Dapagliflotsiini,dapagliflozin,NOTDOI
32,4,A10BK03,71,Empagliflotsiini,empagliflozin,NOTDOI
33,4,C01EB22,71,Meldonium,meldonium,NOTDOI
34,4,C01EB25,71,Akoramidiisi,acoramidis,NOTDOI
35,2,C1B,20,Rytmihäiriölääkkeet,,undefined
36,3,C1BA,10,Ryhmä 1A,,undefined
37,4,C01BA01,10,Kinidiini,quinidine,undefined
38,4,C01BA13,10,Hydrokinidiini,hydroquinidine,NOTDOI
39,4,C01BA02,20,Prokaiiniamidi,procainamide,NOTDOI
40,4,C01BA03,30,Disopyramidi,disopyramide,undefined
41,4,C01BA05,40,Aimaliini,ajmaline,NOTDOI
42,3,C1BB,20,Ryhmä 1B,,undefined
43,4,C01BB01,10,Lidokaiini,lidocaine,undefined
44,4,C01BB02,20,Meksiletiini,mexiletine,undefined
45,3,C1BC,30,Ryhmä 1C,,undefined
46,4,C01BC03,10,Propafenoni,propafenone,undefined
47,4,C01BC04,20,Flekainidi,flecainide,undefined
48,3,C1BD,40,Ryhmä 2 (beetasalpaajat),,undefined
49,4,C1BDA,10,Selektiiviset beetasalpaajat,,undefined
50,5,C07AB02,10,Metoprololi,metoprolol,undefined
51,5,C07AB03,20,Atenololi,atenolol,undefined
52,5,C07AB04,30,Asebutololi,acebutolol,undefined
53,5,C07AB05,40,Betaksololi,betaxolol,undefined
54,5,C07AB07,50,Bisoprololi,bisoprolol,undefined
55,5,C07AB08,60,Seliprololi,celiprolol,undefined
56,5,C07AB09,70,Esmololi,esmolol,undefined
57,5,C07AB12,80,Nebivololi,nebivolol,undefined
58,5,C07AB14,90,Landiololi,landiolol,NOTDOI
59,4,C1BDB,20,Epäselektiiviset beetasalpaajat,,undefined
60,5,C07AA03,10,Pindololi,pindolol,undefined
61,5,C07AA05,20,Propranololi,propranolol,undefined
62,5,C07AA07,30,Sotaloli,sotalol,undefined
63,3,C1BE,50,Ryhmä 3 (repolarisaation pidentäjät),,undefined
64,4,C01B,10,Dronedaroni,ATCDDD N/A,NOTDOI
65,4,C01BD01,20,Amiodaroni,amiodarone,undefined
66,4,C01BD05,30,Ibutilidi,ibutilide,undefined
67,4,C07AA07,50,Sotaloli,sotalol,undefined
68,3,C1BF,60,Ryhmä 4 (kalsiumkanavan salpaajat),,undefined
69,4,C08DA01,10,Verapamiili,verapamil,undefined
70,4,C08DB01,20,Diltiatseemi,diltiazem,undefined
71,3,C01BG11,70,Vernakalantti,vernakalant,NOTDOI
72,3,C01EB10,90,Adenosiini,adenosine,undefined
73,3,C01AA05,100,Digoksiini,digoxin,undefined
74,2,C1U,30,Verenpainelääkkeet,,NOTDOI
75,3,C1C,30,Diureetit,,undefined
76,4,C1CA,10,Tiatsidit ja niiden kaltaiset diureetit,,undefined
77,5,C03AA03,10,Hydroklooritiatsidi,hydrochlorothiazide,undefined
78,5,C03AA04,11,Klooritiatsidi,chlorothiazide,NOTDOI
79,5,C03BA08,20,Metolatsoni,metolazone,undefined
80,5,C03BA11,30,Indapamidi,indapamide,undefined
81,4,C1CB,20,Loop-diureetit,,undefined
82,5,C03CA01,10,Furosemidi,furosemide,undefined
83,5,C03CA02,20,Bumetanidi,bumetanide,undefined
84,4,C1CC,30,Kaliumia säästävät diureetit,,undefined
85,5,C03DB01,10,Amiloridi,amiloride,NOTDOI
86,5,C1CCA,20,Aldosteroniantagonistit,,NOTDOI
87,6,C03DA01,10,Spironolaktoni,spironolactone,undefined
88,6,C03DA02,20,Kaliumkanrenoaatti,potassium canrenoate,NOTDOI
89,6,C03DA04,30,Eplerenoni,eplerenone,undefined
90,6,C03DA05,31,Finerenoni,finerenone,NOTDOI
91,4,C1CD,40,Kaliumia säästävien ja muiden diureettien yhdistelmät,,undefined
92,5,C03EA01,10,Hydroklooritiatsidi ja kaliumia säästävät diureetit,hydrochlorothiazide and potassium-sparing agents,undefined
93,5,C03EA02,20,Trikloorimetiatsidi ja kaliumia säästävät diureetit,trichlormethiazide and potassium-sparing agents,undefined
94,5,C03EB01,30,Furosemidi ja kaliumia säästävät diureetit,furosemide and potassium-sparing agents,NOTDOI
95,4,S01EC01,60,Asetatsolamidi,acetazolamide,undefined
96,3,C1D,40,Beetasalpaajat,,undefined
97,4,C1BDA,10,Selektiiviset beetasalpaajat,,undefined
98,5,C07AB02,10,Metoprololi,metoprolol,undefined
99,5,C07AB03,20,Atenololi,atenolol,undefined
100,5,C07AB04,30,Asebutololi,acebutolol,undefined
101,5,C07AB05,40,Betaksololi,betaxolol,undefined
102,5,C07AB07,50,Bisoprololi,bisoprolol,undefined
103,5,C07AB08,60,Seliprololi,celiprolol,undefined
104,5,C07AB09,70,Esmololi,esmolol,undefined
105,5,C07AB12,80,Nebivololi,nebivolol,undefined
106,5,C07AB14,90,Landiololi,landiolol,NOTDOI
107,4,C1BDB,20,Epäselektiiviset beetasalpaajat,,undefined
108,5,C07AA03,10,Pindololi,pindolol,undefined
109,5,C07AA05,20,Propranololi,propranolol,undefined
110,5,C07AA07,30,Sotaloli,sotalol,undefined
111,4,C1DC,30,Alfa- ja beetareseptoreiden salpaajat,,undefined
112,5,C07AG01,10,Labetaloli,labetalol,undefined
113,5,C07AG02,20,Karvediloli,carvedilol,undefined
114,3,C1E,50,Beetasalpaajien yhdistelmävalmisteet,,undefined
115,4,C1EA,10,Beetasalpaaja ja diureetti,,undefined
116,5,C07BB02,10,Metoprololi ja tiatsidit,metoprolol and thiazides,undefined
117,5,C07BB07,20,Bisoprololi ja tiatsidit,bisoprolol and thiazides,undefined
118,5,C07BB12,30,Nebivololi ja tiatsidit,nebivolol and thiazides,NOTDOI
119,4,C1EB,20,Beetasalpaaja ja muu verenpainelääke,,undefined
120,5,C07FB02,10,Metoprololi ja felodipiini,metoprolol and felodipine,undefined
121,5,C07FB03,20,Atenololi ja nifedipiini,atenolol and nifedipine,undefined
122,3,C1EE,51,Alfasalpaajat,,NOTDOI
123,4,C02CA01,30,Pratsosiini,prazosin,undefined
124,4,C02CA04,31,Doksatsosiini,doxazosin,NOTDOI
125,4,C04AB01,31,Fentolamiini,phentolamine,NOTDOI
126,4,C04AX02,31,Fenoksibentsamiini,phenoxybenzamine,NOTDOI
127,3,C1EF,52,Sentraalisesti vaikuttavat,,NOTDOI
128,4,C02AC01,10,Klonidiini,clonidine,undefined
129,4,C02AC05,11,Moksonidiini,moxonidine,undefined
130,3,C1F,60,Kalsiumkanavan salpaajat,,undefined
131,4,C1FA,20,Pääasiassa verisuonistoon vaikuttavat kalsiumkanavan salpaajat,,undefined
132,5,C08CA01,10,Amlodipiini,amlodipine,undefined
133,5,C08CA02,20,Felodipiini,felodipine,undefined
134,5,C08CA03,30,Isradipiini,isradipine,undefined
135,5,C08CA04,40,Nikardipiini,nicardipine,NOTDOI
136,5,C08CA05,50,Nifedipiini,nifedipine,undefined
137,5,C08CA06,60,Nimodipiini,nimodipine,undefined
138,5,C08CA07,70,Nisoldipiini,nisoldipine,undefined
139,5,C08CA10,80,Nilvadipiini,nilvadipine,undefined
140,5,C08CA13,90,Lerkanidipiini,lercanidipine,undefined
