seq,lvl,koodi,nimi
1,2,C1,"Sydän- ja verenkiertoelimistön lääkkeet"
2,3,C1A,"Sydänlääkkeet (mm. digitalis, inotroopit, nitraatit)"
3,4,C1AA,"Digitalisglykosidit"
4,5,C01AA05,"Digoksiini"
5,4,C1AB,"Inotrooppiset lääkkeet"
6,5,C01CA01,"Etilefriini"
7,5,C01CA02,"Isoprenaliini"
8,5,C01CA03,"Noradrenaliini"
9,5,C01CA04,"Dopamiini"
10,5,C01CA07,"Dobutamiini"
11,5,C01CA24,"Adrenaliini"
12,5,C01CA26,"Efedriini"
13,5,C01CE02,"Milrinoni"
14,5,C01CX08,"Levosimendaani"
15,5,C01CX09,"Angiotensiini II"
16,4,C1AC,"Orgaaniset nitraatit"
17,5,C01DA02,"Glyseryylitrinitraatti"
18,5,C01DA08,"Isosorbididinitraatti"
19,5,C01DA14,"Isosorbidimononitraatti"
20,4,C1AD,"Muut sydänlääkkeet"
21,5,C01CA06,"Fenyyliefriini"
22,5,C01CA17,"Midodriini"
23,5,C01DX22,"Verisiguaatti"
24,5,C01EA01,"Alprostadiili"
25,5,C01EB02,"Kamferi"
26,5,C01EB10,"Adenosiini"
27,5,C01EB16,"Ibuprofeeni"
28,5,C01EB17,"Ivabradiini"
29,5,C01EB18,"Ranolatsiini"
30,5,C01EB24,"Mavakamteeni"
31,5,A10BK01,"Dapagliflotsiini"
32,5,A10BK03,"Empagliflotsiini"
33,5,C01EB22,"Meldonium"
34,5,C01EB25,"Akoramidiisi"
35,3,C1B,"Rytmihäiriölääkkeet"
36,4,C1BA,"Ryhmä 1A"
37,5,C01BA01,"Kinidiini"
38,5,C01BA13,"Hydrokinidiini"
39,5,C01BA02,"Prokaiiniamidi"
40,5,C01BA03,"Disopyramidi"
41,5,C01BA05,"Aimaliini"
42,4,C1BB,"Ryhmä 1B"
43,5,C01BB01,"Lidokaiini"
44,5,C01BB02,"Meksiletiini"
45,4,C1BC,"Ryhmä 1C"
46,5,C01BC03,"Propafenoni"
47,5,C01BC04,"Flekainidi"
48,4,C1BD,"Ryhmä 2 (beetasalpaajat)"
49,5,C1BDA,"Selektiiviset beetasalpaajat"
50,6,C07AB02,"Metoprololi"
51,6,C07AB03,"Atenololi"
52,6,C07AB04,"Asebutololi"
53,6,C07AB05,"Betaksololi"
54,6,C07AB07,"Bisoprololi"
55,6,C07AB08,"Seliprololi"
56,6,C07AB09,"Esmololi"
57,6,C07AB12,"Nebivololi"
58,6,C07AB14,"Landiololi"
59,5,C1BDB,"Epäselektiiviset beetasalpaajat"
60,6,C07AA03,"Pindololi"
61,6,C07AA05,"Propranololi"
62,6,C07AA07,"Sotaloli"
63,4,C1BE,"Ryhmä 3 (repolarisaation pidentäjät)"
64,5,C01B,"Dronedaroni"
65,6,NA,"DRONEDARONE STADA 400 mg tabletti, kalvopäällysteinen"
66,6,NA,"MULTAQ 400 mg tabletti, kalvopäällysteinen"
67,5,C01BD01,"Amiodaroni"
68,5,C01BD05,"Ibutilidi"
69,5,C07AA07,"Sotaloli"
70,4,C1BF,"Ryhmä 4 (kalsiumkanavan salpaajat)"
71,5,C08DA01,"Verapamiili"
72,5,C08DB01,"Diltiatseemi"
73,4,C01BG11,"Vernakalantti"
74,4,C01EB10,"Adenosiini"
75,4,C01AA05,"Digoksiini"
76,3,C1U,"Verenpainelääkkeet"
77,4,C1C,"Diureetit"
78,5,C1CA,"Tiatsidit ja niiden kaltaiset diureetit"
79,6,C03AA03,"Hydroklooritiatsidi"
80,6,C03AA04,"Klooritiatsidi"
81,6,C03BA08,"Metolatsoni"
82,6,C03BA11,"Indapamidi"
83,5,C1CB,"Loop-diureetit"
84,6,C03CA01,"Furosemidi"
85,6,C03CA02,"Bumetanidi"
86,5,C1CC,"Kaliumia säästävät diureetit"
87,6,C03DB01,"Amiloridi"
88,6,C1CCA,"Aldosteroniantagonistit"
89,7,C03DA01,"Spironolaktoni"
90,7,C03DA02,"Kaliumkanrenoaatti"
91,7,C03DA04,"Eplerenoni"
92,7,C03DA05,"Finerenoni"
93,5,C1CD,"Kaliumia säästävien ja muiden diureettien yhdistelmät"
94,6,C03EA01,"Hydroklooritiatsidi ja kaliumia säästävät diureetit"
95,6,C03EA02,"Trikloorimetiatsidi ja kaliumia säästävät diureetit"
96,6,C03EB01,"Furosemidi ja kaliumia säästävät diureetit"
97,5,S01EC01,"Asetatsolamidi"
98,4,C1D,"Beetasalpaajat"
99,5,C1BDA,"Selektiiviset beetasalpaajat"
100,6,C07AB02,"Metoprololi"
101,6,C07AB03,"Atenololi"
102,6,C07AB04,"Asebutololi"
103,6,C07AB05,"Betaksololi"
104,6,C07AB07,"Bisoprololi"
105,6,C07AB08,"Seliprololi"
106,6,C07AB09,"Esmololi"
107,6,C07AB12,"Nebivololi"
108,6,C07AB14,"Landiololi"
109,5,C1BDB,"Epäselektiiviset beetasalpaajat"
110,6,C07AA03,"Pindololi"
111,6,C07AA05,"Propranololi"
112,6,C07AA07,"Sotaloli"
113,5,C1DC,"Alfa- ja beetareseptoreiden salpaajat"
114,6,C07AG01,"Labetaloli"
115,6,C07AG02,"Karvediloli"
116,4,C1E,"Beetasalpaajien yhdistelmävalmisteet"
117,5,C1EA,"Beetasalpaaja ja diureetti"
118,6,C07BB02,"Metoprololi ja tiatsidit"
119,6,C07BB07,"Bisoprololi ja tiatsidit"
120,6,C07BB12,"Nebivololi ja tiatsidit"
121,5,C1EB,"Beetasalpaaja ja muu verenpainelääke"
122,6,C07FB02,"Metoprololi ja felodipiini"
123,6,C07FB03,"Atenololi ja nifedipiini"
124,4,C1EE,"Alfasalpaajat"
125,5,C02CA01,"Pratsosiini"
126,5,C02CA04,"Doksatsosiini"
127,5,C04AB01,"Fentolamiini"
128,5,C04AX02,"Fenoksibentsamiini"
129,4,C1EF,"Sentraalisesti vaikuttavat"
130,5,C02AC01,"Klonidiini"
131,5,C02AC05,"Moksonidiini"
132,4,C1F,"Kalsiumkanavan salpaajat"
133,5,C1FA,"Pääasiassa verisuonistoon vaikuttavat kalsiumkanavan salpaajat"
134,6,C08CA01,"Amlodipiini"
135,6,C08CA02,"Felodipiini"
136,6,C08CA03,"Isradipiini"
137,6,C08CA04,"Nikardipiini"
138,6,C08CA05,"Nifedipiini"
139,6,C08CA06,"Nimodipiini"
140,6,C08CA07,"Nisoldipiini"
141,6,C08CA10,"Nilvadipiini"
142,6,C08CA13,"Lerkanidipiini"
143,5,C1FB,"Pääasiassa sydämeen vaikuttavat kalsiumkanavan salpaajat"
144,6,C08DA01,"Verapamiili"
145,6,C08DB01,"Diltiatseemi"
146,4,C1G,"ACE:n estäjät"
147,5,C09AA01,"Kaptopriili"
148,5,C09AA02,"Enalapriili"
149,5,C09AA03,"Lisinopriili"
150,5,C09AA04,"Perindopriili"
151,5,C09AA05,"Ramipriili"
152,5,C09AA06,"Kinapriili"
153,5,C09AA15,"Tsofenopriili"
154,4,C1H,"ACE:n estäjien yhdistelmävalmisteet"
155,5,C1HA,"ACE:n estäjä ja diureetti"
156,6,C09BA02,"Enalapriili ja diureetit"
157,6,C09BA03,"Lisinopriili ja diureetit"
158,6,C09BA04,"Perindopriili ja diureetit"
159,6,C09BA05,"Ramipriili ja diureetit"
160,6,C09BA06,"Kinapriili ja diureetit"
161,6,C09BA15,"Tsofenopriili ja diureetit"
162,5,C1HB,"ACE:n estäjä ja kalsiumkanavan salpaaja"
163,6,C09BB02,"Enalapriili ja lerkanidipiini"
164,6,C09BB04,"Perindopriili ja amlodipiini"
165,6,C09BB05,"Ramipriili ja felodipiini"
166,6,C09BB07,"Ramipriili ja amlodipiini"
167,5,C1HC,"ACE:n estäjä, diureetti ja kalsiumkanavan salpaaja"
168,6,C09BX01,"Perindopriili, amlodipiini ja indapamidi"
169,5,C1HD,"ACE:n estäjä ja beetasalpaaja"
170,6,C09BX02,"Perindopriili ja bisoprololi"
171,4,C1J,"AT-reseptorin salpaajat"
172,5,C09CA01,"Losartaani"
173,5,C09CA02,"Eprosartaani"
174,5,C09CA03,"Valsartaani"
175,5,C09CA04,"Irbesartaani"
176,5,C09CA06,"Kandesartaani"
177,5,C09CA07,"Telmisartaani"
178,5,C09CA08,"Olmesartaanimedoksomiili"
179,4,C1K,"AT-reseptorin salpaajien yhdistelmävalmisteet"
180,5,C1KA,"AT-reseptorin salpaaja ja diureetti"
181,6,C09DA01,"Losartaani ja diureetit"
182,6,C09DA02,"Eprosartaani ja diureetit"
183,6,C09DA03,"Valsartaani ja diureetit"
184,6,C09DA06,"Kandesartaani ja diureetit"
185,6,C09DA07,"Telmisartaani ja diureetit"
186,6,C09DA08,"Olmesartaanimedoksomiili ja diureetit"
187,5,C1KB,"AT-reseptorin salpaaja ja kalsiumkanavan salpaaja"
188,6,C09DB01,"Valsartaani ja amlodipiini"
189,6,C09DB02,"Olmesartaanimedoksomiili ja amlodipiini"
190,6,C09DB07,"Kandesartaani ja amlodipiini "
191,5,C1KC,"AT-reseptorin salpaaja, diureetti ja kalsiumkanavan salpaaja"
192,6,C09DX01,"Valsartaani, amlodipiini ja hydroklooritiatsidi"
193,6,C09DX03,"Olmesartaanimedoksomiili, amlodipiini ja hydroklooritiatsidi"
194,5,C1KD,"AT-reseptorin salpaaja ja NEP:n estäjä"
195,6,C09DX04,"Valsartaani ja sakubitriili"
196,4,C1L,"Reniininestäjät"
197,5,C09XA02,"Aliskireeni"
198,3,C1M,"Pulmonaalihypertension lääkkeet"
199,4,B01AC09,"Epoprostenoli"
200,4,B01AC11,"Iloprosti"
201,4,B01AC21,"Treprostiniili"
202,4,B01AC27,"Seleksipagi"
203,4,C02KX01,"Bosentaani"
204,4,C02KX02,"Ambrisentaani"
205,4,C02KX03,"Sitaksentaani"
206,4,C02KX04,"Masitentaani"
207,4,C02KX05,"Riosiguaatti"
208,4,C02KX06,"Sotatersepti "
209,4,C02KX54,"Masitentaani ja tadalafiili "
210,4,G04BE03,"Sildenafiili"
211,4,G04BE08,"Tadalafiili"
212,3,C1N,"Muut verenpainelääkkeet"
213,4,C02CA06,"Urapidiili"
214,4,C02CC02,"Guanetidiini"
215,4,C02DB01,"Dihydralatsiini"
216,4,C02DB02,"Hydralatsiini"
217,4,C02DC01,"Minoksidiili"
218,4,C02DD01,"Nitroprussidi"
219,4,C02KB01,"Metirosiini"
220,4,C02KN01,"Aprositentaani"
221,4,H01BA01,"Vasopressiini (argipressiini)"
222,3,C1P,"Lipidilääkkeet"
223,4,C1PA,"Statiinit"
224,5,C10AA01,"Simvastatiini"
225,5,C10AA02,"Lovastatiini"
226,5,C10AA03,"Pravastatiini"
227,5,C10AA04,"Fluvastatiini"
228,5,C10AA05,"Atorvastatiini"
229,5,C10AA07,"Rosuvastatiini"
230,4,C1PB,"Fibraatit"
231,5,C10AB02,"Betsafibraatti"
232,5,C10AB04,"Gemfibrotsiili"
233,5,C10AB05,"Fenofibraatti"
234,4,C1PC,"Sappihappojen sitojat"
235,5,C10AC01,"Kolestyramiini"
236,5,C10AC02,"Kolestipoli"
237,5,C10AC04,"Kolesevelaami"
238,4,C1PD,"Nikotiinihappo, sen johdokset ja yhdistelmävalmisteet"
239,5,C04AC01,"Nikotiinihappo"
240,5,C10AD06,"Asipimoksi"
241,5,C10AD52,"Nikotiinihappo, yhdistelmävalmisteet"
242,4,C1PE,"Muut lipidilääkkeet"
243,5,C1PEA,"PCSK9-estäjät"
244,6,C10AX13,"Evolokumabi"
245,6,C10AX14,"Alirokumabi"
246,5,C10AX06,"Ikosapenttietyyli"
247,5,C10AX09,"Etsetimibi"
248,5,C10AX15,"Bempedoiinihappo"
249,5,C10AX16,"Inklisiraani"
250,5,C10AX17,"Evinakumabi"
251,4,C1PF,"Statiini ja muu lipidilääke"
252,5,C10BA02,"Simvastatiini ja etsetimibi"
253,5,C10BA06,"Rosuvastatiini ja etsetimibi"
254,4,C1PG,"Statiini ja verenpainelääke"
255,5,C10BX11,"Atorvastatiini, amlodipiini ja perindopriili"
256,3,C1Q,"Ääreisverisuonia laajentavat aineet, suonikohjujen hoito"
257,4,B01AC11,"Iloprosti"
258,4,C04AD03,"Pentoksifylliini"
259,4,C1QA,"Sklerosoivat lääkeaineet"
260,5,C05BB02,"Polidokanoli (lauromakrogoli 400)"
261,5,C05BB04,"Natriumtetradekyylisulfaatti"
262,2,B1,"Veren hyytymiseen vaikuttavat lääkkeet ja anemialääkkeet"
263,3,B1AF,"Antikoagulantit"
264,4,B1AFA,"Hepariinit"
265,5,B01AB01,"Fraktioimaton hepariini"
266,5,B1ABA,"Pienimolekyyliset hepariinit (LMWH)"
267,6,B01AB04,"Daltepariini"
268,6,B01AB05,"Enoksapariini"
269,6,B01AB09,"Danaparoidi"
270,6,B01AB10,"Tintsapariini"
271,5,C05BA01,"Organoheparinoidit"
272,4,B1AA,"K-vitamiiniantagonistit"
273,5,B01AA02,"Fenindioni"
274,5,B01AA03,"Varfariini"
275,5,B01AA04,"Fenprokumoni"
276,4,B1AFB,"Suorat hyytymistekijä X:n estäjät"
277,5,B01AF02,"Apiksabaani"
278,5,B01AF03,"Edoksabaani"
279,5,B01AF01,"Rivaroksabaani"
280,4,B1AFC,"Epäsuorat hyytymistekijä X:n estäjät"
281,5,B01AX05,"Fondaparinuuksi"
282,4,B1AD,"Suorat trombiinin estäjät"
283,5,B01AE03,"Argatrobaani"
284,5,B01AE06,"Bivalirudiini"
285,5,B01AE07,"Dabigatraanieteksilaatti"
286,4,B01AB02,"Antitrombiini"
287,4,B01AD12,"Proteiini C"
288,4,B01AD13,"Apadamtaasi alfa"
289,3,B1AB,"Verihiutaleiden estäjät"
290,4,B1ABB,"Asetyylisalisyylihappo ja sen yhdistelmät"
291,5,B01AC06,"Asetyylisalisyylihappo"
292,5,B01AC30,"Asetyylisalisyylihapon yhdistelmävalmisteet"
293,4,B01AC07,"Dipyridamoli"
294,4,B1ABD,"ADP-reseptorin salpaajat"
295,5,B01AC04,"Klopidogreeli"
296,5,B01AC05,"Tiklopidiini"
297,5,B01AC22,"Prasugreeli"
298,5,B01AC24,"Tikagrelori"
299,5,B01AC25,"Kangrelori"
300,4,B1ABC,"Glykoproteiini IIb/IIIa -estäjät"
301,5,B01AC13,"Absiksimabi"
302,5,B01AC16,"Eptifibatidi"
303,5,B01AC17,"Tirofibaani"
304,4,B01AX01,"Defibrotidi"
305,4,B01AX07,"Kaplasitsumabi"
306,3,B1AC,"Fibrinolyyttiset lääkeaineet"
307,4,B01AD01,"Streptokinaasi"
308,4,B01AD02,"Alteplaasi"
309,4,B01AD04,"Urokinaasi"
310,4,B01AD07,"Reteplaasi"
311,4,B01AD11,"Tenekteplaasi"
312,3,B1AE,"Prostasykliinianalogit"
313,4,B01AC09,"Epoprostenoli"
314,4,B01AC11,"Iloprosti"
315,3,B1B,"Hyytymistä edistävät lääkkeet"
316,4,B02BB01,"Fibrinogeeni"
317,4,B02BC06,"Trombiini"
318,4,B02BC30,"Paikallisesti käytettävät hemostaatit"
319,4,B1BA,"Antifibrinolyyttiset lääkkeet"
320,5,B02AA02,"Traneksaamihappo"
321,5,B02AB01,"Aprotiniini "
322,4,B1BB,"K-vitamiini (fytomenadioni)"
323,5,B02BA01,"Fytomenadioni"
324,4,B1BE,"Veren hyytymistekijät ja muut systeemisesti käytettävät hemostaatit"
325,5,B02BD01,"Hyytymistekijät IX, II, VII ja X yhdistelmävalmisteina"
326,5,B02BD02,"Hyytymistekijä VIII"
327,5,B02BD03,"Hyytymistekijä VIII:n vasta-aineen ohittava aine"
328,5,B02BD04,"Hyytymistekijä IX"
